############################
### Parámetros Globales (técnicos)
############################
param durH := 24;     # Duración máxima de jornada (horas)
param Lc := 24;       # Límite de regreso (hora máxima para regresar)
param tcarga := 0;    # Tiempo de carga/descarga por nodo (horas) - no aplicable

############################
### Naturaleza de nodos
param escliente := 0 0 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1;
param esdepo := 0 1 1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0;
param escritico := 0 0 1 1 2 1 3 0 4 1 5 0 6 1 7 0 8 0 9 0 10 1;

############################
### Tipo de contrato
############################
param esHora := 1 0 2 0 3 1;
param esF6 := 1 0 2 0 3 0;
param esF12 := 1 1 2 1 3 0;

############################
### Capacidades y Costos
############################
param Cap := 1 80 2 137 3 107;
param CH := 1 91 2 156 3 128;
param CF6 := 1 267 2 251 3 330;
param CF12 := 1 537 2 464 3 376;

############################
### Penalizaciones
############################
param pcmin_c := 10;
param pcmax_c := 15;
param pcmin_nc := 5;
param pcmax_nc := 8;
param preg := 20;
param pant := 0;

############################
### Demandas
############################
param DemE := 0 0 1 6 2 7 3 9 4 9 5 5 6 14 7 18 8 23 9 20 10 13;
param DemR := 0 0 1 3 2 6 3 0 4 6 5 2 6 2 7 4 8 6 9 3 10 1;

############################
### Tiempo de servicio
############################
param TS := 0 0 1 0.31 2 0.26 3 0.24 4 0.34 5 0.1 6 0.32 7 0.26 8 0.21 9 0.23 10 0.3;

############################
### Ventanas de tiempo
############################
param MinDC := 0 0 1 10 2 9 3 11 4 8 5 6 6 12 7 7 8 12 9 9 10 8;
param MaxDC := 0 24 1 18 2 15 3 16 4 14 5 14 6 19 7 14 8 14 9 16 10 11;

############################
### Distancias (km)
############################
param Dist : 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 29 12 16 27 36 4 35 4 23 24
 1 29 0 25 44 18 14 26 33 32 6 21
 2 12 25 0 21 30 28 14 42 15 19 13
 3 16 44 21 0 42 49 20 48 14 38 33
 4 27 18 30 42 0 32 22 15 28 18 34
 5 36 14 28 49 32 0 35 47 39 15 18
 6 4 26 14 20 22 35 0 30 6 21 25
 7 35 33 42 48 15 47 30 0 35 33 48
 8 4 32 15 14 28 39 6 35 0 26 27
 9 23 6 19 38 18 15 21 33 26 0 17
 10 24 21 13 33 34 18 25 48 27 17 0
 ;

############################
### Velocidades por franja
############################
param v := 1 25 2 40 3 50 4 40 5 35 6 20;
param tinic := 1 0 2 4 3 8 4 12 5 16 6 20;
param tfin := 1 4 2 8 3 12 4 16 5 20 6 24;

############################
### Tiempo de viaje tvia
############################
param tvia :=
 [*,*,1]: 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 1.16 0.48 0.64 1.08 1.44 0.16 1.4 0.16 0.92 0.96
 1 1.16 0 1 1.76 0.72 0.56 1.04 1.32 1.28 0.24 0.84
 2 0.48 1 0 0.84 1.2 1.12 0.56 1.68 0.6 0.76 0.52
 3 0.64 1.76 0.84 0 1.68 1.96 0.8 1.92 0.56 1.52 1.32
 4 1.08 0.72 1.2 1.68 0 1.28 0.88 0.6 1.12 0.72 1.36
 5 1.44 0.56 1.12 1.96 1.28 0 1.4 1.88 1.56 0.6 0.72
 6 0.16 1.04 0.56 0.8 0.88 1.4 0 1.2 0.24 0.84 1
 7 1.4 1.32 1.68 1.92 0.6 1.88 1.2 0 1.4 1.32 1.92
 8 0.16 1.28 0.6 0.56 1.12 1.56 0.24 1.4 0 1.04 1.08
 9 0.92 0.24 0.76 1.52 0.72 0.6 0.84 1.32 1.04 0 0.68
 10 0.96 0.84 0.52 1.32 1.36 0.72 1 1.92 1.08 0.68 0
 [*,*,2]: 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 0.725 0.3 0.4 0.675 0.9 0.1 0.875 0.1 0.575 0.6
 1 0.725 0 0.625 1.1 0.45 0.35 0.65 0.825 0.8 0.15 0.525
 2 0.3 0.625 0 0.525 0.75 0.7 0.35 1.05 0.375 0.475 0.325
 3 0.4 1.1 0.525 0 1.05 1.225 0.5 1.2 0.35 0.95 0.825
 4 0.675 0.45 0.75 1.05 0 0.8 0.55 0.375 0.7 0.45 0.85
 5 0.9 0.35 0.7 1.225 0.8 0 0.875 1.175 0.975 0.375 0.45
 6 0.1 0.65 0.35 0.5 0.55 0.875 0 0.75 0.15 0.525 0.625
 7 0.875 0.825 1.05 1.2 0.375 1.175 0.75 0 0.875 0.825 1.2
 8 0.1 0.8 0.375 0.35 0.7 0.975 0.15 0.875 0 0.65 0.675
 9 0.575 0.15 0.475 0.95 0.45 0.375 0.525 0.825 0.65 0 0.425
 10 0.6 0.525 0.325 0.825 0.85 0.45 0.625 1.2 0.675 0.425 0
 [*,*,3]: 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 0.58 0.24 0.32 0.54 0.72 0.08 0.7 0.08 0.46 0.48
 1 0.58 0 0.5 0.88 0.36 0.28 0.52 0.66 0.64 0.12 0.42
 2 0.24 0.5 0 0.42 0.6 0.56 0.28 0.84 0.3 0.38 0.26
 3 0.32 0.88 0.42 0 0.84 0.98 0.4 0.96 0.28 0.76 0.66
 4 0.54 0.36 0.6 0.84 0 0.64 0.44 0.3 0.56 0.36 0.68
 5 0.72 0.28 0.56 0.98 0.64 0 0.7 0.94 0.78 0.3 0.36
 6 0.08 0.52 0.28 0.4 0.44 0.7 0 0.6 0.12 0.42 0.5
 7 0.7 0.66 0.84 0.96 0.3 0.94 0.6 0 0.7 0.66 0.96
 8 0.08 0.64 0.3 0.28 0.56 0.78 0.12 0.7 0 0.52 0.54
 9 0.46 0.12 0.38 0.76 0.36 0.3 0.42 0.66 0.52 0 0.34
 10 0.48 0.42 0.26 0.66 0.68 0.36 0.5 0.96 0.54 0.34 0
 [*,*,4]: 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 0.725 0.3 0.4 0.675 0.9 0.1 0.875 0.1 0.575 0.6
 1 0.725 0 0.625 1.1 0.45 0.35 0.65 0.825 0.8 0.15 0.525
 2 0.3 0.625 0 0.525 0.75 0.7 0.35 1.05 0.375 0.475 0.325
 3 0.4 1.1 0.525 0 1.05 1.225 0.5 1.2 0.35 0.95 0.825
 4 0.675 0.45 0.75 1.05 0 0.8 0.55 0.375 0.7 0.45 0.85
 5 0.9 0.35 0.7 1.225 0.8 0 0.875 1.175 0.975 0.375 0.45
 6 0.1 0.65 0.35 0.5 0.55 0.875 0 0.75 0.15 0.525 0.625
 7 0.875 0.825 1.05 1.2 0.375 1.175 0.75 0 0.875 0.825 1.2
 8 0.1 0.8 0.375 0.35 0.7 0.975 0.15 0.875 0 0.65 0.675
 9 0.575 0.15 0.475 0.95 0.45 0.375 0.525 0.825 0.65 0 0.425
 10 0.6 0.525 0.325 0.825 0.85 0.45 0.625 1.2 0.675 0.425 0
 [*,*,5]: 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 0.8286 0.3429 0.4571 0.7714 1.0286 0.1143 1 0.1143 0.6571 0.6857
 1 0.8286 0 0.7143 1.2571 0.5143 0.4 0.7429 0.9429 0.9143 0.1714 0.6
 2 0.3429 0.7143 0 0.6 0.8571 0.8 0.4 1.2 0.4286 0.5429 0.3714
 3 0.4571 1.2571 0.6 0 1.2 1.4 0.5714 1.3714 0.4 1.0857 0.9429
 4 0.7714 0.5143 0.8571 1.2 0 0.9143 0.6286 0.4286 0.8 0.5143 0.9714
 5 1.0286 0.4 0.8 1.4 0.9143 0 1 1.3429 1.1143 0.4286 0.5143
 6 0.1143 0.7429 0.4 0.5714 0.6286 1 0 0.8571 0.1714 0.6 0.7143
 7 1 0.9429 1.2 1.3714 0.4286 1.3429 0.8571 0 1 0.9429 1.3714
 8 0.1143 0.9143 0.4286 0.4 0.8 1.1143 0.1714 1 0 0.7429 0.7714
 9 0.6571 0.1714 0.5429 1.0857 0.5143 0.4286 0.6 0.9429 0.7429 0 0.4857
 10 0.6857 0.6 0.3714 0.9429 0.9714 0.5143 0.7143 1.3714 0.7714 0.4857 0
 [*,*,6]: 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 1.45 0.6 0.8 1.35 1.8 0.2 1.75 0.2 1.15 1.2
 1 1.45 0 1.25 2.2 0.9 0.7 1.3 1.65 1.6 0.3 1.05
 2 0.6 1.25 0 1.05 1.5 1.4 0.7 2.1 0.75 0.95 0.65
 3 0.8 2.2 1.05 0 2.1 2.45 1 2.4 0.7 1.9 1.65
 4 1.35 0.9 1.5 2.1 0 1.6 1.1 0.75 1.4 0.9 1.7
 5 1.8 0.7 1.4 2.45 1.6 0 1.75 2.35 1.95 0.75 0.9
 6 0.2 1.3 0.7 1 1.1 1.75 0 1.5 0.3 1.05 1.25
 7 1.75 1.65 2.1 2.4 0.75 2.35 1.5 0 1.75 1.65 2.4
 8 0.2 1.6 0.75 0.7 1.4 1.95 0.3 1.75 0 1.3 1.35
 9 1.15 0.3 0.95 1.9 0.9 0.75 1.05 1.65 1.3 0 0.85
 10 1.2 1.05 0.65 1.65 1.7 0.9 1.25 2.4 1.35 0.85 0
 ;

param nmuelles := 2;
